INSTNM,CIPDESC,DEBTMEAN,MD_EARN_WNE,BESTVALUE,Good Investment
Arizona State University-Tempe,"Business Administration, Management and Operations.",20076,49900,2.5881742738589213,True
Arizona State University-Tempe,Accounting and Related Services.,19197,53700,3.0041958041958043,True
Arizona State University-Tempe,Finance and Financial Management Services.,18490,52000,2.736842105263158,True
Arizona State University-Tempe,Hospitality Administration/Management.,21226,34800,1.6975609756097558,True
Arizona State University-Tempe,Management Sciences and Quantitative Methods.,20593,62200,3.0716049382716046,True
Arizona State University-Tempe,Marketing.,18082,44400,2.4,True
Arizona State University-Tempe,Construction Management.,22570,69000,3.2816512888804334,True
Arizona State University-Tempe,"Business, Management, Marketing, and Related Support Services, Other.",20232,42900,2.172151898734177,True
Arizona State University-Tempe,History.,25080,29300,1.172,False
Embry-Riddle Aeronautical University-Prescott,"Aerospace, Aeronautical and Astronautical Engineering.",25220,62500,2.314814814814815,True
Embry-Riddle Aeronautical University-Prescott,Mechanical Engineering.,28438,56800,2.0285714285714285,True
Embry-Riddle Aeronautical University-Prescott,International Relations and National Security Studies.,22070,33800,1.5191011235955056,True
Embry-Riddle Aeronautical University-Prescott,Air Transportation.,24470,47900,1.9304396888727684,True
Embry-Riddle Aeronautical University-Prescott,"Business Administration, Management and Operations.",24994,55700,2.2340766885929733,True
University of Arkansas at Little Rock,"Teacher Education and Professional Development, Specific Levels and Methods.",19117,35000,1.7921146953405018,True
University of Arkansas at Little Rock,"English Language and Literature, General.",22535,24800,1.126504655916421,False
University of Arkansas at Little Rock,"Liberal Arts and Sciences, General Studies and Humanities.",25327,30000,1.2926577042399172,False
University of Arkansas at Little Rock,"Biology, General.",23043,30100,1.450602409638554,False
University of Arkansas at Little Rock,"Psychology, General.",22709,23800,1.0889458272327963,False
University of Arkansas at Little Rock,Criminal Justice and Corrections.,25430,29200,1.168,False
University of Arkansas at Little Rock,Social Work.,23484,29100,1.4195121951219511,False
University of Arkansas at Little Rock,Fine and Studio Arts.,21923,26200,1.4497565294378043,False
University of Arkansas at Little Rock,"Health Services/Allied Health/Health Sciences, General.",26586,30700,1.1734576867211988,False
University of Arkansas at Little Rock,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",23193,67500,3.275268086758212,True
University of Arkansas at Little Rock,"Business Administration, Management and Operations.",25404,39700,1.6088507051385963,True
University of Arkansas at Little Rock,Accounting and Related Services.,25630,45000,1.9609552030678052,True
