INSTNM,Agriculture,Natural Resources and Conservation,Architecture,Communication,Communications Technologies/Technicians,Computer And Information Sciences,Personal And Culinary Services,Education,Engineering,Engineering Technologies,"Foreign Languages, Literatures, And Linguistics",Family And Consumer Sciences/Human Sciences,Legal Professions And Studies,English Language And Literature/Letters,Liberal Arts And Sciences,Library Science,Biological And Biomedical Sciences,Mathematics And Statistics,Military Technologies And Applied Sciences,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Theology And Religious Vocations,Physical Sciences,Science Technologies/Technicians,Psychology,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services", Public Administration And Social Service Professions,Social Sciences,Construction Trades,Mechanic And Repair Technologies/Technicians,Precision Production,Transportation And Materials Moving,Visual And Performing Arts,Health Professions And Related Programs,"Business, Management, Marketing, And Related Support Services",History
National American University-Sioux Falls,0.0,0.0,0.0,0.0,0.0,4.65,1.16,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.02,34.88,0.0
Sioux Falls Seminary,0.0,0.0,0.0,0.0,0.0,4.65,1.16,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.02,34.88,0.0
Northern State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33,0.0,0.0,0.0,0.0,0.0,5.319999999999999,8.12,0.0,7.5600000000000005,0.27999999999999997,0.0,0.0,9.8,0.0,0.0,0.5599999999999999,0.0,5.6,0.0,0.0,5.88,0.0,0.0,0.0,0.0,6.72,0.27999999999999997,26.61,3.92
Oglala Lakota College,0.0,0.0,32.86,0.0,0.0,2.1399999999999997,0.0,17.14,0.0,0.0,0.0,0.0,0.0,0.0,0.7100000000000001,0.0,0.0,0.0,0.0,0.7100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86,0.7100000000000001,10.0,1.43,0.0,0.0,0.0,12.86,13.569999999999999,0.0
Presentation College,0.0,0.0,0.63,1.25,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,3.1300000000000003,1.25,0.63,0.0,0.0,0.0,0.0,0.0,0.0,72.5,8.75,0.0
Avera Sacred Heart Hospital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
South Dakota School of Mines and Technology,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,76.33,0.0,0.0,0.0,0.0,0.0,1.78,0.0,4.44,0.89,0.0,3.25,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota State University,17.07,1.7000000000000002,0.0,2.67,0.0,1.5,0.0,5.43,7.42,2.2800000000000002,1.31,4.8500000000000005,0.1,0.7799999999999999,4.95,0.0,5.38,1.8399999999999999,0.0,0.6799999999999999,2.5700000000000003,0.0,0.0,0.33999999999999997,0.0,2.2800000000000002,0.0,0.0,6.01,0.0,0.0,0.0,0.38999999999999996,3.3000000000000003,22.7,2.13,1.26
Sinte Gleska University,0.0,6.67,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.67,0.0,0.0,0.0,15.0,0.0,3.3300000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,5.0,0.0,0.0,0.0,1.67,6.67,21.67,0.0
University of Sioux Falls,0.0,0.0,0.0,4.130000000000001,0.0,0.95,0.0,5.08,0.0,0.0,0.0,0.32,0.0,1.59,0.0,0.0,5.4,1.27,0.0,0.0,8.57,1.9,1.9,0.32,0.0,7.9399999999999995,3.81,4.760000000000001,1.59,0.0,0.0,0.0,0.0,1.27,19.68,27.62,1.9
Sanford Medical Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Sisseton Wahpeton College,0.0,0.0,11.110000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.110000000000001,0.0,0.0,44.440000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0
Southeast Technical Institute,1.97,0.0,0.0,0.0,1.97,14.08,0.0,0.0,0.0,10.59,0.0,4.6899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,3.82,4.8,3.38,0.0,0.0,26.200000000000003,26.31,0.0
Stewart School,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of South Dakota,0.0,0.0,0.0,3.19,0.0,1.32,0.0,9.66,0.0,0.0,0.22999999999999998,0.0,0.0,1.17,3.4299999999999997,0.0,6.78,0.7799999999999999,0.0,0.62,5.84,0.16,0.0,0.9299999999999999,0.0,4.91,4.36,0.0,3.27,0.0,0.0,0.0,0.0,3.27,34.5,14.56,1.01
Western Dakota Technical Institute,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,6.5600000000000005,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,6.23,0.0,0.0,5.25,8.85,16.72,0.0,0.0,38.690000000000005,9.51,0.0
American Baptist College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquinas College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
